# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Feb 11 18:07:50 2019
#
# CONSTRAINT:  where (k2c_disp like '%CANDIDATE%'
# CONSTRAINT:  )
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Distance to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Distance to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Distance to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Candidate to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Candidate to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Candidate to Stellar Radius Limit Flag
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radeerr1:    Candidate Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Candidate Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Candidate Radius Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_keperr:      Kepler-band Unc. [mag]
# COLUMN st_keplim:      Kepler-band Limit Flag
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_k2err:       Ks-band (2MASS) Unc. [mag]
# COLUMN st_k2lim:       Ks-band (2MASS) Limit Flag
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
24,EPIC 201197348,EPIC 201197348.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,11h48m22.79s,177.094971,-04d09m51.8s,-4.164393,14.91238100,,,0,2456825.111000,,,0,,,,,,,,,0.04445,,,0,3.550,,,0,0.65,,,0,15.135,,0,12.424,0.027,0
39,EPIC 201231940,EPIC 201231940.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,11h36m28.95s,174.120605,-03d28m56.8s,-3.482449,0.57303573,,,0,2456810.511000,,,0,,,,,,,,,0.09028,,,0,3.350,,,0,0.43,,,0,18.108,,0,15.155,0.159,0
40,EPIC 201238110,EPIC 201238110.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,11h58m49.42s,179.705933,-03d23m21.8s,-3.389389,7.90696060,,,0,2456813.675000,,,0,,,,,,,,,0.04848,,,0,3.020,,,0,0.52,,,0,14.904,,0,11.933,0.024,0
41,EPIC 201238163,EPIC 201238163.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,11h33m03.07s,173.262802,-03d23m19.6s,-3.388773,1.08296140,,,0,2456810.366000,,,0,,,,,,,,,0.02378,,,0,1.560,,,0,0.56,,,0,15.279,,0,12.282,0.024,0
42,EPIC 201239401,EPIC 201239401.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,11h32m12.71s,173.052963,-03d22m12.9s,-3.370242,0.90552205,,,0,2456810.944000,,,0,,,,,,,,,0.02628,,,0,1.520,,,0,0.50,,,0,15.042,,0,11.735,0.026,0
43,EPIC 201247497,EPIC 201247497.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,11h51m47.17s,177.946548,-03d14m46.0s,-3.246116,2.75411290,,,0,2456810.901000,,,0,,,,,,,,,0.07842,,,0,4.870,,,0,0.55,,,0,16.770,,0,13.748,0.057,0
44,EPIC 201247497,EPIC 201247497.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,1,11h51m47.17s,177.946548,-03d14m46.0s,-3.246116,2.75391000,0.00015000,-0.00015000,0,2456810.903100,0.002300,-0.002300,0,,,,,,,,,0.07900,0.01300,-0.01300,0,3.780,0.680,-0.680,0,0.44,0.03,-0.03,0,16.770,,0,13.748,0.057,0
46,EPIC 201257461,EPIC 201257461.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,11h52m38.66s,178.161102,-03d05m41.8s,-3.094936,50.28586900,,,0,2456828.355000,,,0,,,,,,,,,0.05345,,,0,3.470,,,0,0.74,,,0,11.511,,0,9.368,0.023,0
47,EPIC 201264302,EPIC 201264302.01,,CANDIDATE,<a refstr=ADAMS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,CANDIDATE,1,11h18m23.52s,169.598007,-02d59m29.7s,-2.991577,0.21219400,0.00002600,-0.00002600,0,2456812.400150,0.000640,-0.000630,0,83.300,4.800,-8.900,0,3.600000,0.900000,-0.800000,0,0.02710,0.00400,-0.00200,0,0.770,0.180,-0.180,0,0.26,0.05,-0.05,0,13.879,,0,10.357,0.021,0
48,EPIC 201264302,EPIC 201264302.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,11h18m23.52s,169.598007,-02d59m29.7s,-2.991577,0.21219899,,,0,2456810.278000,,,0,,,,,,,,,0.02488,,,0,1.050,,,0,0.37,,,0,13.879,,0,10.357,0.021,0
49,EPIC 201270176,EPIC 201270176.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,11h20m31.82s,170.132599,-02d54m09.3s,-2.902582,1.57771549,,,0,2456818.326995,,,0,,,,,,,,,,,,,,,,,,,,,12.452,,0,10.401,0.023,0
50,EPIC 201270176,EPIC 201270176.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,11h20m31.82s,170.132599,-02d54m09.3s,-2.902582,1.57786430,,,0,2456810.434000,,,0,,,,,,,,,0.11500,,,0,7.550,,,0,0.73,,,0,12.452,,0,10.401,0.023,0
51,EPIC 201270464,EPIC 201270464.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,11h20m32.04s,170.133484,-02d53m53.4s,-2.898169,1.57771549,,,0,2456818.327691,,,0,,,,,,,,,,,,,,,,,,,,,9.392,,0,8.438,0.023,0
52,EPIC 201274010,EPIC 201274010.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180611504L target=ref>Livingston et al. 2018</a>,CANDIDATE,1,12h13m14.23s,183.309296,-02d50m38.9s,-2.844149,13.01130000,0.00520000,-0.00422000,0,2457589.515000,0.008600,-0.012300,0,,,,,26.700000,5.800000,-6.300000,0,0.02550,0.00250,-0.00240,0,2.430,0.250,-0.240,0,,,,,13.902,,0,12.194,0.027,0
53,EPIC 201291843,EPIC 201291843.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,11h53m41.00s,178.420837,-02d34m18.4s,-2.571776,40.70206194,,,0,2456823.294921,,,0,,,,,,,,,,,,,,,,,,,,,13.679,,0,10.591,0.025,0
58,EPIC 201299088,EPIC 201299088.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,1,12h08m49.13s,182.204697,-02d27m52.3s,-2.464518,21.20473900,0.00534800,-0.00552300,0,2457600.342910,0.008145,-0.007958,0,83.490,1.123,-0.979,0,7.257597,0.895991,-0.662070,0,0.04741,0.00197,-0.00184,0,9.110,1.164,-0.951,0,1.76,0.21,-0.17,0,11.751,,0,9.800,0.021,0
59,EPIC 201324549,EPIC 201324549.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,11h24m56.62s,171.235916,-02d05m06.6s,-2.085164,2.51881781,,,0,2456820.075966,,,0,,,,,,,,,,,,,,,,,,,,,12.146,,0,10.890,0.026,0
60,EPIC 201324549,EPIC 201324549.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,11h24m56.62s,171.235916,-02d05m06.6s,-2.085164,2.51940780,,,0,2456812.512000,,,0,,,,,,,,,0.04461,,,0,7.990,,,0,1.72,,,0,12.146,,0,10.890,0.026,0
70,EPIC 201352100,EPIC 201352100.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180611504L target=ref>Livingston et al. 2018</a>,CANDIDATE,1,12h16m08.47s,184.035294,-01d40m25.3s,-1.673686,13.38382000,0.00116000,-0.00114000,0,2457594.789500,0.003200,-0.003300,0,,,,,33.900000,2.800000,-7.000000,0,0.03260,0.00200,-0.00110,0,2.700,0.170,-0.100,0,,,,,12.798,,0,10.708,0.021,0
71,EPIC 201352100,EPIC 201352100.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,0,12h16m08.47s,184.035294,-01d40m25.3s,-1.673686,13.38362900,0.00076000,-0.00072700,0,2457594.792040,0.001985,-0.002149,0,89.247,0.533,-0.914,0,34.933150,3.951607,-8.962793,0,0.03231,0.00186,-0.00145,0,2.873,0.191,-0.143,0,0.82,0.03,-0.02,0,12.798,,0,10.708,0.021,0
89,EPIC 201390927,EPIC 201390927.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180611504L target=ref>Livingston et al. 2018</a>,CANDIDATE,1,12h18m20.53s,184.585541,-01d05m55.8s,-1.098830,2.63800000,0.00030000,-0.00029000,0,2457583.340900,0.004200,-0.004600,0,,,,,10.900000,1.600000,-2.900000,0,0.02650,0.00250,-0.00190,0,2.910,0.400,-0.330,0,,,,,14.210,,0,11.390,0.029,0
90,EPIC 201392505,EPIC 201392505.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180611504L target=ref>Livingston et al. 2018</a>,CANDIDATE,1,12h12m45.25s,183.188553,-01d04m29.4s,-1.074821,27.47083000,0.01089000,-0.01286000,0,2457592.079500,0.018600,-0.016300,0,,,,,30.900000,3.300000,-7.500000,0,0.04120,0.00320,-0.00210,0,3.360,0.260,-0.180,0,,,,,13.384,,0,11.282,0.026,0
97,EPIC 201407812,EPIC 201407812.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,11h36m10.59s,174.044144,-00d50m26.5s,-0.840699,2.82681210,,,0,2456812.488000,,,0,,,,,,,,,0.45600,,,0,40.100,,,0,0.98,,,0,11.858,,0,10.399,0.024,0
103,EPIC 201441872,EPIC 201441872.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,11h34m24.10s,173.600418,-00d20m04.5s,-0.334585,4.44164210,,,0,2456812.872000,,,0,,,,,,,,,0.01089,,,0,1.170,,,0,0.90,,,0,12.088,,0,10.484,0.052,0
104,EPIC 201441872,EPIC 201441872.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,1,11h34m24.10s,173.600418,-00d20m04.5s,-0.334585,4.44125800,0.00087800,-0.00094200,0,2456812.871290,0.006730,-0.007226,0,87.001,2.211,-15.245,0,10.962068,3.129384,-7.764589,0,0.01236,0.00927,-0.00134,0,1.124,0.846,-0.129,0,0.83,0.05,-0.03,0,12.088,,0,10.484,0.052,0
117,EPIC 201488365,EPIC 201488365.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,11h12m45.10s,168.187897,+00d20m52.8s,0.348009,3.36431150,,,0,2456812.224000,,,0,,,,,,,,,0.62480,,,0,85.600,,,0,1.32,,,0,8.814,,0,7.211,0.022,0
118,EPIC 201497682,EPIC 201497682.02,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,11h15m44.79s,168.936646,+00d29m17.2s,0.488114,7.79915860,,,0,2456814.271000,,,0,,,,,,,,,0.01829,,,0,1.570,,,0,0.70,,,0,13.740,,0,11.438,0.026,0
119,EPIC 201497682,EPIC 201497682.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,11h15m44.79s,168.936646,+00d29m17.2s,0.488114,13.83781400,,,0,2456820.957000,,,0,,,,,,,,,0.02306,,,0,1.960,,,0,0.70,,,0,13.740,,0,11.438,0.026,0
132,EPIC 201512465,EPIC 201512465.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,1,11h34m15.10s,173.562927,+00d42m50.3s,0.713972,2.33293000,0.00014000,-0.00014000,0,2456810.151600,0.003000,-0.003000,0,,,,,,,,,0.12000,0.21000,-0.21000,0,3.200,5.200,-5.200,0,0.22,0.03,-0.03,0,17.614,,0,13.362,0.045,0
133,EPIC 201512465,EPIC 201512465.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,11h34m15.10s,173.562927,+00d42m50.3s,0.713972,2.33309820,,,0,2456812.482000,,,0,,,,,,,,,0.10610,,,0,5.480,,,0,0.50,,,0,17.614,,0,13.362,0.045,0
134,EPIC 201516974,EPIC 201516974.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,11h37m15.48s,174.314484,+00d46m59.3s,0.783149,36.76233700,,,0,2456819.743000,,,0,,,,,,,,,0.03712,,,0,3.440,,,0,0.75,,,0,11.238,,0,9.270,0.021,0
